"CustomerID","R_Score","F_Score","M_Score","Total_Score","User_Segment"
"12346","1","2","5","8","挽留用户"
"12347","5","3","4","12","发展用户"
"12348","3","3","3","9","一般用户"
"12349","5","2","4","11","一般用户"
"12350","1","1","2","4","流失风险用户"
"12351","1","1","2","4","流失风险用户"
"12352","4","3","3","10","发展用户"
"12353","1","2","2","5","流失风险用户"
"12354","1","1","3","5","挽留用户"
"12355","1","2","3","6","挽留用户"
"12356","5","3","4","12","发展用户"
"12357","4","2","5","11","一般用户"
"12358","5","3","3","11","发展用户"
"12359","4","4","5","13","高价值用户"
"12360","4","3","4","11","发展用户"
"12361","1","2","2","5","流失风险用户"
"12362","5","4","4","13","高价值用户"
"12363","3","2","3","8","一般用户"
"12364","5","2","3","10","一般用户"
"12365","1","1","2","4","流失风险用户"
"12366","1","1","3","5","挽留用户"
"12367","5","1","2","8","一般用户"
"12368","1","1","3","5","挽留用户"
"12369","1","2","3","6","挽留用户"
"12370","4","3","4","11","发展用户"
"12371","4","2","4","10","一般用户"
"12372","3","2","3","8","一般用户"
"12373","1","2","3","6","挽留用户"
"12374","5","2","4","11","一般用户"
"12375","5","2","2","9","一般用户"
"12376","1","2","2","5","流失风险用户"
"12377","1","2","4","7","挽留用户"
"12378","2","2","5","9","挽留用户"
"12379","3","2","3","8","一般用户"
"12380","5","3","5","13","发展用户"
"12381","5","2","3","10","一般用户"
"12383","1","3","3","7","挽留用户"
"12384","5","2","2","9","一般用户"
"12385","1","1","3","5","挽留用户"
"12386","1","2","3","6","挽留用户"
"12387","1","1","2","4","流失风险用户"
"12388","5","3","4","12","发展用户"
"12389","1","2","3","6","挽留用户"
"12390","3","1","2","6","一般用户"
"12391","5","3","4","12","发展用户"
"12392","1","1","2","4","流失风险用户"
"12393","3","3","4","10","一般用户"
"12394","3","2","3","8","一般用户"
"12395","5","4","4","13","高价值用户"
"12396","1","1","3","5","挽留用户"
"12397","4","2","4","10","一般用户"
"12398","4","1","3","8","一般用户"
"12399","3","3","3","9","一般用户"
"12400","1","1","2","4","流失风险用户"
"12401","1","1","1","3","流失风险用户"
"12402","1","3","3","7","挽留用户"
"12403","4","1","1","6","一般用户"
"12405","2","1","3","6","挽留用户"
"12406","5","3","5","13","发展用户"
"12407","4","3","3","10","发展用户"
"12408","4","3","4","11","发展用户"
"12409","3","3","5","11","一般用户"
"12410","1","2","3","6","挽留用户"
"12411","1","1","2","4","流失风险用户"
"12412","3","3","4","10","一般用户"
"12413","3","2","3","8","一般用户"
"12414","1","2","2","5","流失风险用户"
"12415","5","5","5","15","高价值用户"
"12416","1","1","2","4","流失风险用户"
"12417","5","5","5","15","高价值用户"
"12418","3","2","3","8","一般用户"
"12419","1","2","2","5","流失风险用户"
"12420","3","1","3","7","一般用户"
"12421","5","3","3","11","发展用户"
"12422","3","4","4","11","一般用户"
"12423","5","4","4","13","高价值用户"
"12424","2","2","4","8","挽留用户"
"12425","3","2","3","8","一般用户"
"12426","1","2","3","6","挽留用户"
"12427","5","2","3","10","一般用户"
"12428","5","3","5","13","发展用户"
"12429","5","3","5","13","发展用户"
"12430","4","1","2","7","一般用户"
"12431","4","5","5","14","高价值用户"
"12432","4","2","4","10","一般用户"
"12433","5","3","5","13","发展用户"
"12434","3","2","3","8","一般用户"
"12435","3","3","5","11","一般用户"
"12436","3","1","2","6","一般用户"
"12437","5","5","5","15","高价值用户"
"12438","5","2","4","11","一般用户"
"12439","1","2","3","6","挽留用户"
"12440","1","2","3","6","挽留用户"
"12441","1","1","2","4","流失风险用户"
"12442","5","1","2","8","一般用户"
"12443","1","1","2","4","流失风险用户"
"12444","5","3","4","12","发展用户"
"12445","5","2","2","9","一般用户"
"12446","4","1","3","8","一般用户"
"12447","1","1","2","4","流失风险用户"
"12448","4","1","2","7","一般用户"
"12449","5","3","4","12","发展用户"
"12450","2","3","3","8","挽留用户"
"12451","5","3","5","13","发展用户"
"12452","5","1","2","8","一般用户"
"12453","2","1","3","6","挽留用户"
"12454","4","2","5","11","一般用户"
"12455","3","3","4","10","一般用户"
"12456","4","2","4","10","一般用户"
"12457","3","3","4","10","一般用户"
"12458","3","2","3","8","一般用户"
"12459","1","1","2","4","流失风险用户"
"12460","1","1","2","4","流失风险用户"
"12461","2","1","3","6","挽留用户"
"12462","5","2","3","10","一般用户"
"12463","4","2","3","9","一般用户"
"12464","5","3","3","11","发展用户"
"12465","5","2","3","10","一般用户"
"12467","1","1","2","4","流失风险用户"
"12468","1","3","4","8","挽留用户"
"12469","1","2","4","7","挽留用户"
"12470","1","1","2","4","流失风险用户"
"12471","5","5","5","15","高价值用户"
"12472","4","4","5","13","高价值用户"
"12473","4","2","4","10","一般用户"
"12474","5","5","5","15","高价值用户"
"12475","4","2","3","9","一般用户"
"12476","5","4","5","14","高价值用户"
"12477","5","3","5","13","发展用户"
"12478","5","1","3","9","一般用户"
"12479","5","1","2","8","一般用户"
"12480","5","3","4","12","发展用户"
"12481","5","4","5","14","高价值用户"
"12482","1","5","5","11","挽留用户"
"12483","5","4","4","13","高价值用户"
"12484","4","3","4","11","发展用户"
"12485","1","1","3","5","挽留用户"
"12486","1","1","3","5","挽留用户"
"12487","1","1","2","4","流失风险用户"
"12488","5","2","3","10","一般用户"
"12489","1","1","2","4","流失风险用户"
"12490","5","5","5","15","高价值用户"
"12491","4","1","2","7","一般用户"
"12492","3","2","3","8","一般用户"
"12493","2","2","2","6","流失风险用户"
"12494","5","3","3","11","发展用户"
"12495","1","1","2","4","流失风险用户"
"12496","1","2","1","4","流失风险用户"
"12497","3","2","5","10","一般用户"
"12498","5","2","2","9","一般用户"
"12499","1","1","2","4","流失风险用户"
"12500","5","4","5","14","高价值用户"
"12501","1","1","3","5","挽留用户"
"12502","3","3","4","10","一般用户"
"12504","5","2","3","10","一般用户"
"12505","1","1","3","5","挽留用户"
"12506","1","1","1","3","流失风险用户"
"12507","2","2","3","7","挽留用户"
"12508","5","2","2","9","一般用户"
"12509","1","1","2","4","流失风险用户"
"12510","2","3","4","9","挽留用户"
"12511","1","1","4","6","挽留用户"
"12512","3","2","2","7","一般用户"
"12513","3","1","3","7","一般用户"
"12514","1","2","3","6","挽留用户"
"12515","1","1","2","4","流失风险用户"
"12516","3","2","3","8","一般用户"
"12517","5","2","4","11","一般用户"
"12518","5","3","3","11","发展用户"
"12519","3","2","3","8","一般用户"
"12520","3","3","4","10","一般用户"
"12521","2","1","3","6","挽留用户"
"12522","4","2","2","8","一般用户"
"12523","5","5","4","14","高价值用户"
"12524","5","4","5","14","高价值用户"
"12525","1","2","3","6","挽留用户"
"12526","5","2","3","10","一般用户"
"12527","3","3","3","9","一般用户"
"12528","5","3","3","11","发展用户"
"12529","1","1","2","4","流失风险用户"
"12530","4","3","4","11","发展用户"
"12531","5","2","3","10","一般用户"
"12532","4","1","2","7","一般用户"
"12533","1","2","3","6","挽留用户"
"12534","2","1","3","6","挽留用户"
"12535","3","2","3","8","一般用户"
"12536","4","1","4","9","一般用户"
"12537","1","1","3","5","挽留用户"
"12538","5","2","3","10","一般用户"
"12539","5","3","5","13","发展用户"
"12540","5","5","5","15","高价值用户"
"12541","5","2","3","10","一般用户"
"12542","1","2","2","5","流失风险用户"
"12543","1","1","3","5","挽留用户"
"12544","4","1","2","7","一般用户"
"12545","3","2","3","8","一般用户"
"12546","4","2","3","9","一般用户"
"12547","1","2","2","5","流失风险用户"
"12548","2","1","1","4","流失风险用户"
"12549","1","3","3","7","挽留用户"
"12550","3","1","3","7","一般用户"
"12551","1","1","2","4","流失风险用户"
"12552","4","1","2","7","一般用户"
"12553","5","4","4","13","高价值用户"
"12554","1","1","2","4","流失风险用户"
"12556","4","2","3","9","一般用户"
"12557","5","3","4","12","发展用户"
"12558","5","1","2","8","一般用户"
"12559","1","2","3","6","挽留用户"
"12560","5","2","3","10","一般用户"
"12561","1","1","2","4","流失风险用户"
"12562","5","3","4","12","发展用户"
"12563","1","1","2","4","流失风险用户"
"12564","1","1","2","4","流失风险用户"
"12565","1","1","2","4","流失风险用户"
"12566","3","1","2","6","一般用户"
"12567","5","4","5","14","高价值用户"
"12568","1","1","1","3","流失风险用户"
"12569","5","5","4","14","高价值用户"
"12571","4","2","3","9","一般用户"
"12572","5","2","3","10","一般用户"
"12573","1","3","2","6","挽留用户"
"12574","1","1","2","4","流失风险用户"
"12575","1","2","3","6","挽留用户"
"12576","4","3","3","10","发展用户"
"12577","4","3","3","10","发展用户"
"12578","5","2","4","11","一般用户"
"12579","3","1","2","6","一般用户"
"12580","1","2","3","6","挽留用户"
"12581","4","1","2","7","一般用户"
"12582","1","2","3","6","挽留用户"
"12583","5","5","5","15","高价值用户"
"12584","5","3","4","12","发展用户"
"12585","1","2","3","6","挽留用户"
"12586","5","2","3","10","一般用户"
"12587","5","1","2","8","一般用户"
"12588","4","2","3","9","一般用户"
"12589","5","3","4","12","发展用户"
"12590","1","1","5","7","挽留用户"
"12591","1","2","3","6","挽留用户"
"12592","3","2","3","8","一般用户"
"12593","3","2","2","7","一般用户"
"12594","4","4","4","12","高价值用户"
"12595","1","1","2","4","流失风险用户"
"12596","4","2","2","8","一般用户"
"12597","5","2","4","11","一般用户"
"12598","5","4","4","13","高价值用户"
"12599","5","4","4","13","高价值用户"
"12600","5","4","4","13","高价值用户"
"12601","1","3","3","7","挽留用户"
"12602","4","1","2","7","一般用户"
"12603","5","1","3","9","一般用户"
"12604","3","2","2","7","一般用户"
"12605","1","2","3","6","挽留用户"
"12607","3","1","3","7","一般用户"
"12608","1","1","2","4","流失风险用户"
"12609","3","3","4","10","一般用户"
"12610","5","2","3","10","一般用户"
"12611","4","1","3","8","一般用户"
"12612","3","1","1","5","一般用户"
"12613","4","3","5","12","发展用户"
"12614","1","1","2","4","流失风险用户"
"12615","5","3","5","13","发展用户"
"12616","3","2","3","8","一般用户"
"12617","5","1","2","8","一般用户"
"12618","5","1","2","8","一般用户"
"12619","5","3","4","12","发展用户"
"12620","5","2","3","10","一般用户"
"12621","5","5","5","15","高价值用户"
"12622","1","1","2","4","流失风险用户"
"12623","1","3","4","8","挽留用户"
"12624","3","2","3","8","一般用户"
"12625","1","2","4","7","挽留用户"
"12626","5","3","5","13","发展用户"
"12627","5","3","4","12","发展用户"
"12628","5","2","3","10","一般用户"
"12629","1","2","3","6","挽留用户"
"12630","5","2","3","10","一般用户"
"12631","4","3","4","11","发展用户"
"12632","1","2","3","6","挽留用户"
