"StockCode","TotalQuantity","TotalRevenue","OrderCount"
"22423","24899","286486.3","3317"
"23843","80995","168469.6","1"
"84879","79913","127074.17","2652"
"47566","23607","103880.23","2077"
"23166","77916","81416.73","195"
"22086","29477","79594.33","1691"
"79321","15735","72860.14","922"
"22386","37711","68439.19","1767"
"21137","19629","67209.44","539"
"48138","9974","64973.98","1511"
"20685","9545","61829.13","1478"
"82484","10893","60513.09","1048"
"20725","38314","60271.7","2579"
"21843","5891","59648.09","1279"
"22197","77971","59101.69","1752"
"84347","29498","57779.17","525"
"22502","3128","55017.6","568"
"21621","6542","54815.12","1121"
"22189","18113","52627.29","1129"
"22470","17866","52157.68","1743"
"21623","7158","51465.62","499"
"23084","27202","51346.2","801"
"20914","18524","50983.88","1790"
"21733","17643","50010.85","1631"
"21181","24513","48564","1549"
"21931","26239","48255.8","1714"
"22139","10107","47787.6","1838"
"22112","10326","47555.84","1447"
"22910","17294","47240.02","1233"
"22178","37851","46440.91","1442"
"22411","24690","45784.63","1680"
"48194","7556","45590.18","1138"
"71477","15489","45034.37","686"
"22469","27182","45020.95","1779"
"48187","7205","44764.75","1151"
"22111","9487","44368.05","1457"
"21212","91263","44067.34","2508"
"21929","24431","43883.88","1228"
"21754","7468","43837.76","1831"
"22138","9052","43155.06","1742"
"21731","27867","42913.71","1043"
"21175","20432","42491.84","1422"
"21928","23618","42340.92","1172"
"21232","35764","41989.92","1893"
"22090","15333","41953.19","1265"
"21915","37097","41939.65","884"
"21523","6669","41691.67","893"
"22457","14508","41203.92","1637"
"22326","14921","41078.27","1147"
"20727","25820","40586.2","1997"
"48185","6430","39700.88","736"
"22383","24262","38632.7","2004"
"22328","14108","38214.64","990"
"84946","32481","37794.78","1323"
"82486","4787","37753.53","1188"
"23203","19516","37684.38","1080"
"82482","15919","37679.6","1658"
"21166","19833","37387.49","1225"
"20728","23575","37071.43","1797"
"22629","20661","36862.29","1108"
"22114","9325","36269.27","1298"
"23298","7785","36173.95","1009"
"22083","13116","35924.86","1075"
"23284","5342","35913.85","648"
"85066","2997","35889.48","809"
"20713","19832","35822.62","920"
"21485","7562","35559.18","1225"
"22960","8702","34851.72","903"
